"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","total.sulfur.dioxide","pH","sulphates","alcohol","quality","type_wine"
"430",12.8,0.84,0.63,2.4,0.088,35,3.1,0.6,10.4,6,1
"2340",6.9,0.39,0.4,4.6,0.022,19,3.31,0.37,12.6,3,0
"5900",6.4,0.29,0.3,6.5,0.209,156,3.1,0.4,9.4,5,0
"1313",8,1.18,0.21,1.9,0.083,41,3.34,0.47,10.5,5,1
"1972",6.6,0.905,0.19,0.8,0.048,204,3.34,0.56,10,5,0
"2473",10.3,0.17,0.47,1.4,0.037,33,2.89,0.28,9.6,3,0
"701",10.6,1.02,0.43,2.9,0.076,88,3.08,0.57,10.1,6,1
"5944",6.7,0.27,0.69,1.2,0.176,106,2.96,0.43,9.2,6,0
"5946",6.7,0.27,0.69,1.2,0.176,106,2.96,0.43,9.2,6,0
"348",13.8,0.49,0.67,3,0.093,15,3.02,0.93,12,6,1
"1795",6.4,0.3,0.45,3.5,0.197,180,3.02,0.39,9.1,6,0
"4907",9.4,0.24,0.29,8.5,0.037,208,2.9,0.38,11,3,0
"5501",4.8,0.65,0.12,1.1,0.013,10,3.32,0.36,13.5,4,0
"441",12.6,0.31,0.72,2.2,0.072,29,2.88,0.82,9.8,8,1
"143",5.2,0.34,0,1.8,0.05,63,3.68,0.79,14,6,1
"145",5.2,0.34,0,1.8,0.05,63,3.68,0.79,14,6,1
"567",8.7,0.7,0.24,2.5,0.226,15,3.32,0.6,9,6,1
"568",8.7,0.7,0.24,2.5,0.226,15,3.32,0.6,9,6,1
"6226",6.3,0.3,0.91,8.2,0.034,199,3.39,0.49,11.7,6,0
"6232",6.3,0.3,0.91,8.2,0.034,199,3.39,0.49,11.7,6,0
"560",13,0.47,0.49,4.3,0.085,47,3.3,0.68,12.7,6,1
"565",13,0.47,0.49,4.3,0.085,47,3.3,0.68,12.7,6,1
"1435",10.2,0.54,0.37,15.4,0.214,95,3.18,0.77,9,6,1
"1436",10.2,0.54,0.37,15.4,0.214,95,3.18,0.77,9,6,1
"2904",8,0.59,0.71,17.35,0.038,228,2.95,0.75,9.3,5,0
"1132",5.9,0.19,0.21,1.7,0.045,135,3.32,0.44,9.5,5,1
"95",5,1.02,0.04,1.4,0.045,85,3.75,0.48,10.5,4,1
"5511",7.2,0.23,0.82,1.3,0.149,109,2.93,0.42,9.2,6,0
"2580",6,0.19,0.71,1.5,0.152,55,3.12,0.46,9.8,6,0
"1796",6.4,0.29,0.44,3.6,0.197,183,3.01,0.38,9.1,5,0
"2579",6,0.2,0.71,1.6,0.15,54,3.12,0.47,9.8,5,0
"1794",6.4,0.29,0.44,3.6,0.2,181,3.02,0.41,9.1,5,0
"3076",7.1,0.85,0.49,8.7,0.028,184,3.22,0.36,10.7,5,0
"1404",7.2,0.33,0.33,1.7,0.061,13,3.23,1.1,10,8,1
"148",7.6,0.49,0.26,1.6,0.236,88,3.11,0.8,9.3,5,1
"162",7.6,0.68,0.02,1.3,0.072,20,3.17,1.08,9.2,4,1
"121",7.3,1.07,0.09,1.7,0.178,89,3.3,0.57,9,5,1
"6298",7,0.27,0.74,1.3,0.173,121,3.04,0.46,9.2,6,0
"379",11.4,0.625,0.66,6.2,0.088,24,3.11,0.99,13.3,6,1
"592",6.6,0.39,0.49,1.7,0.07,149,3.12,0.5,11.5,6,1
"1617",6.2,0.66,0.48,1.2,0.029,75,3.33,0.39,12.8,8,0
"1620",6.2,0.66,0.48,1.2,0.029,75,3.33,0.39,12.8,8,0
"391",5.6,0.85,0.05,1.4,0.045,88,3.56,0.82,12.9,8,1
"725",7.5,1.115,0.1,3.1,0.086,12,3.54,0.6,11.2,4,1
"1271",5,0.38,0.01,1.6,0.048,60,3.7,0.75,14,6,1
"711",10.6,1.025,0.43,2.8,0.08,84,3.06,0.57,10.1,5,1
"464",8.1,0.66,0.7,2.2,0.098,129,3.08,0.53,9,5,1
"900",8.3,1.02,0.02,3.4,0.084,11,3.48,0.49,11,3,1
"685",9.8,0.98,0.32,2.3,0.078,152,3.25,0.48,9.4,5,1
"456",11.3,0.62,0.67,5.2,0.086,19,3.22,0.69,13.4,8,1
"2651",6.9,0.21,0.81,1.1,0.137,123,3.03,0.39,9.2,6,0
"3087",6.7,0.25,0.74,19.4,0.054,169,3.51,0.45,9.8,6,0
"1807",10.2,0.44,0.88,6.2,0.049,124,2.99,0.51,9.9,4,0
"3036",8.5,0.56,0.74,17.85,0.051,243,2.99,0.7,9.2,5,0
"5572",6.8,0.37,0.67,1.5,0.175,98,3.06,0.56,10.3,6,0
"1245",5.9,0.29,0.25,13.4,0.067,160,3.33,0.54,10.3,6,1
"518",10.4,0.61,0.49,2.1,0.2,16,3.16,0.63,8.4,3,1
"44",8.1,0.66,0.22,2.2,0.069,23,3.3,1.2,10.3,5,1
"375",14,0.41,0.63,3.8,0.089,47,3.01,0.81,10.8,6,1
"80",8.3,0.625,0.2,1.5,0.08,119,3.16,1.12,9.1,4,1
"1322",5,0.74,0,1.2,0.041,46,4.01,0.59,12.5,6,1
"200",6.9,1.09,0.06,2.1,0.061,31,3.51,0.43,11.4,4,1
"460",11.6,0.58,0.66,2.2,0.074,47,3.25,0.57,9,3,1
"2969",7.4,0.64,0.47,14.15,0.168,185,2.9,0.49,9.3,5,0
"1851",8.5,0.26,0.21,16.2,0.074,197,3.02,0.5,9.8,3,0
"883",8.4,0.31,0.29,3.1,0.194,26,3.22,0.78,12,6,1
"5336",6.5,0.32,0.48,8,0.026,88,3.22,0.79,12.7,4,0
"1317",5.4,0.74,0,1.2,0.041,46,4.01,0.59,12.5,6,1
"1289",7,0.6,0.3,4.5,0.068,110,3.3,1.17,10.2,5,1
"1290",7,0.6,0.3,4.5,0.068,110,3.3,1.17,10.2,5,1
"1853",5.8,0.24,0.44,3.5,0.029,109,3.53,0.43,11.7,3,0
"1270",5.5,0.49,0.03,1.8,0.044,87,3.5,0.82,14,8,1
"308",10.3,0.41,0.42,2.4,0.213,14,3.19,0.62,9.5,6,1
"365",12.8,0.615,0.66,5.8,0.083,42,3.07,0.73,10,7,1
"367",12.8,0.615,0.66,5.8,0.083,42,3.07,0.73,10,7,1
"5310",4.7,0.67,0.09,1,0.02,9,3.3,0.34,13.6,5,0
"309",10.3,0.43,0.44,2.4,0.214,12,3.19,0.63,9.5,6,1
"2131",6.4,0.18,0.48,4,0.186,150,3.06,0.4,9.3,5,0
"3994",6.3,0.695,0.55,12.9,0.056,252,3.29,0.49,8.7,5,0
"5219",6.8,0.45,0.28,26.05,0.031,122,3.06,0.42,10.6,6,0
"5223",6.8,0.45,0.28,26.05,0.031,122,3.06,0.42,10.6,6,0
"329",13.4,0.27,0.62,2.6,0.082,21,3.16,0.67,9.7,6,1
"96",4.7,0.6,0.17,2.3,0.058,106,3.85,0.6,12.9,6,1
"89",9.3,0.39,0.44,2.1,0.107,125,3.14,1.22,9.5,5,1
"667",8.3,0.49,0.36,1.8,0.222,16,3.18,0.6,9.5,6,1
"4697",6.6,0.78,0.5,1.5,0.045,133,3.25,0.48,11.7,5,0
"1925",7.5,0.27,0.31,5.8,0.057,313,3.18,0.59,10.5,5,0
"396",12,0.37,0.76,4.2,0.066,38,3.22,0.6,13,7,1
"6103",5.8,0.61,0.01,8.4,0.041,104,3.26,0.72,14.05,7,0
"199",5.4,0.835,0.08,1.2,0.046,93,3.57,0.85,13,7,1
"539",12.9,0.35,0.49,5.8,0.066,35,3.2,0.66,12,7,1
"2329",6,0.33,0.27,0.8,0.185,188,3.12,0.62,9.4,5,0
"510",13.3,0.29,0.75,2.8,0.084,43,3.04,0.68,11.4,7,1
"681",13.3,0.43,0.58,1.9,0.07,40,3.06,0.49,9,5,1
"3626",6.4,0.26,0.4,1.7,0.179,60,3.09,0.54,10.1,5,0
"2045",7.1,0.32,0.32,11,0.038,66,3.24,0.4,11.5,3,0
"382",13.7,0.415,0.68,2.9,0.085,43,3.06,0.8,10,6,1
"392",13.7,0.415,0.68,2.9,0.085,43,3.06,0.8,10,6,1
"5337",7.1,0.21,0.72,1.6,0.167,120,2.97,0.51,9.2,5,0
"2893",6.9,0.39,0.22,4.3,0.03,102,3,0.87,11.6,4,0
"837",6.7,0.28,0.28,2.4,0.012,100,3.26,0.39,11.7,7,1
"838",6.7,0.28,0.28,2.4,0.012,100,3.26,0.39,11.7,7,1
"2829",8.3,0.33,0.42,1.15,0.033,96,3.2,0.32,12.4,3,0
"1229",5.1,0.42,0,1.8,0.044,88,3.68,0.73,13.6,7,1
"602",13.2,0.46,0.52,2.2,0.071,35,3.1,0.56,9,6,1
"604",13.2,0.46,0.52,2.2,0.071,35,3.1,0.56,9,6,1
"589",5,0.42,0.24,2,0.06,50,3.72,0.74,14,8,1
"235",8.2,1,0.09,2.3,0.065,37,3.32,0.55,9,6,1
"240",8.2,1,0.09,2.3,0.065,37,3.32,0.55,9,6,1
"1368",6.9,0.54,0.3,2.2,0.088,105,3.25,1.18,10.5,6,1
"3178",6.4,0.18,0.74,11.9,0.046,168,3.58,0.68,10.1,5,0
"3183",6.4,0.18,0.74,11.9,0.046,168,3.58,0.68,10.1,5,0
"2854",7,0.16,0.73,1,0.138,150,3.08,0.3,9.2,5,0
"336",11.9,0.695,0.53,3.4,0.128,21,3.17,0.84,12.2,7,1
"3288",6.7,0.25,0.26,1.55,0.041,216,3.55,0.63,9.4,3,0
"822",4.9,0.42,0,2.1,0.048,42,3.71,0.74,14,7,1
"634",10.1,0.935,0.22,3.4,0.105,86,3.43,0.64,11.3,4,1
"2894",6.9,0.41,0.22,4.2,0.031,102,3,0.86,11.6,4,0
"2548",6.8,0.705,0.25,3.2,0.048,57,3.36,0.52,9.5,4,0
"652",9.8,0.88,0.25,2.5,0.104,155,3.41,0.67,11.2,5,1
"3175",6.8,0.17,0.74,2.4,0.053,182,3.63,0.76,10.5,6,0
"833",10.4,0.44,0.42,1.5,0.145,48,3.38,0.86,9.9,3,1
"6001",7.1,0.38,0.29,13.6,0.041,137,3.02,0.96,12.1,6,0
"4003",8.8,0.33,0.36,2.1,0.034,125,2.96,0.98,12.7,6,0
"6486",6.2,0.21,0.28,5.7,0.028,121,3.21,1.08,12.15,7,0
"4650",6.2,0.255,0.24,1.7,0.039,272,3.53,0.53,9.6,4,0
"999",8.9,0.84,0.34,1.4,0.05,10,3.12,0.48,9.1,6,1
"3625",7.5,0.3,0.71,1.3,0.16,149,3.08,0.42,8.9,5,0
"803",5.1,0.585,0,1.7,0.044,86,3.56,0.94,12.9,7,1
"339",12.4,0.49,0.58,3,0.103,99,3.16,1,11.5,6,1
"5171",5.9,0.655,0,5.6,0.033,31,3.32,0.51,10.5,4,0
"206",12.8,0.3,0.74,2.6,0.095,28,3.2,0.77,10.8,7,1
"207",12.8,0.3,0.74,2.6,0.095,28,3.2,0.77,10.8,7,1
"4041",7.2,0.2,0.28,1.6,0.028,168,3.17,1.06,11.5,6,0
"834",11.6,0.47,0.44,1.6,0.147,51,3.38,0.86,9.9,4,1
"5128",6.9,0.75,0.13,6.3,0.036,50,3.09,0.25,11.1,4,0
"1567",6.7,0.16,0.64,2.1,0.059,52,3.34,0.71,11.2,6,1
"1478",5.3,0.47,0.11,2.2,0.048,89,3.54,0.88,13.6,7,1
"1894",9.1,0.59,0.38,1.6,0.066,182,3.23,0.38,8.5,3,0
"135",7.9,1.04,0.05,2.2,0.084,29,3.22,0.55,9.9,6,1
"1475",9.9,0.5,0.5,13.8,0.205,82,3.16,0.75,8.8,5,1
"1477",9.9,0.5,0.5,13.8,0.205,82,3.16,0.75,8.8,5,1
"516",8.5,0.655,0.49,6.1,0.122,151,3.31,1.14,9.3,5,1
"3532",9.2,0.71,0.23,6.2,0.042,93,2.89,0.34,10.1,6,0
"1641",6.7,0.24,0.39,2.9,0.173,157,3.1,0.34,9.4,6,0
"1476",5.3,0.47,0.11,2.2,0.048,89,3.54,0.88,13.5666666666667,7,1
"6165",5.8,0.28,0.66,9.1,0.039,159,3.66,0.55,10.8,5,0
"6167",5.8,0.28,0.66,9.1,0.039,159,3.66,0.55,10.8,5,0
"1194",6.4,0.885,0,2.3,0.166,12,3.56,0.51,10.8,5,1
"1192",6.5,0.885,0,2.3,0.166,12,3.56,0.51,10.8,5,1
"1372",7.5,0.58,0.56,3.1,0.153,14,3.21,1.03,11.6,6,1
"1158",5.1,0.51,0.18,2.1,0.042,101,3.46,0.87,12.9,7,1
"2624",6.8,0.34,0.74,2.8,0.088,185,3.51,0.7,12,6,0
"1159",6.7,0.41,0.43,2.8,0.076,54,3.42,1.16,10.6,6,1
"47",7.7,0.935,0.43,2.2,0.114,114,3.25,0.73,9.2,5,1
"5017",6.7,0.64,0.3,1.2,0.03,76,3.16,0.6,12.9,4,0
"612",13.2,0.38,0.55,2.7,0.081,16,2.98,0.54,9.4,5,1
"1640",6.7,0.23,0.39,2.5,0.172,158,3.11,0.36,9.4,6,0
"395",12.7,0.6,0.65,2.3,0.063,25,3.03,0.57,9.9,5,1
"1850",5.9,0.21,0.28,4.6,0.053,199,3.72,0.7,10,4,0
"2374",9.1,0.27,0.45,10.6,0.035,124,3.2,0.46,10.4,9,0
"517",12.5,0.6,0.49,4.3,0.1,14,3.25,0.74,11.9,6,1
"696",5.1,0.47,0.02,1.3,0.034,44,3.9,0.62,12.8,6,1
"295",13.3,0.34,0.52,3.2,0.094,53,3.05,0.81,9.5,6,1
"5859",3.8,0.31,0.02,11.1,0.036,114,3.75,0.44,12.4,6,0
"4254",6.9,0.4,0.22,5.95,0.081,303,3.4,0.57,9.4,5,0
"4305",6.7,0.26,0.39,6.4,0.171,200,3.19,0.38,9.4,6,0
"132",5.6,0.5,0.09,2.3,0.049,99,3.63,0.63,13,5,1
"133",5.6,0.5,0.09,2.3,0.049,99,3.63,0.63,13,5,1
"4179",6.4,0.28,0.56,1.7,0.156,106,3.1,0.37,9.2,6,0
"639",7.7,0.915,0.12,2.2,0.143,23,3.35,0.65,10.2,7,1
"6191",7,0.33,0.78,9.9,0.042,251,3.01,0.55,11,6,0
"2986",5.6,0.49,0.13,4.5,0.039,116,3.42,0.9,13.7,7,0
"2994",5.6,0.49,0.13,4.5,0.039,116,3.42,0.9,13.7,7,0
"3281",6.3,0.31,0.3,10,0.046,212,3.74,0.55,11.9,6,0
"202",8.8,0.37,0.48,2.1,0.097,145,3.04,1.03,9.3,5,1
"4304",6.6,0.26,0.38,6.5,0.17,201,3.19,0.38,9.4,6,0
"1468",6.7,1.04,0.08,2.3,0.067,32,3.52,0.57,11,4,1
"5537",6.5,0.36,0.36,6.7,0.185,151,3.17,0.42,9.3,5,0
"2636",7.5,0.17,0.37,1.5,0.06,75,3.54,0.88,10.7,5,0
"1262",6.3,1.02,0,2,0.083,24,3.59,0.55,11.2,4,1
"4194",5.4,0.5,0.13,5,0.028,107,3.48,0.88,13.5,7,0
"3448",8.7,0.49,0.57,17.8,0.052,243,2.98,0.82,9,5,0
"471",13,0.32,0.65,2.6,0.093,47,3.05,0.61,10.6,5,1
"6182",6.3,0.37,0.51,6.3,0.048,146,3.1,1.01,10.5,6,0
"2200",6.7,0.3,0.35,1.4,0.18,160,3.11,0.54,9.4,6,0
"2855",6.4,0.22,0.34,1.8,0.057,104,3.81,0.57,10.3,6,0
"3762",9.9,0.49,0.23,2.4,0.087,115,2.77,0.44,9.4,6,0
"1470",7.3,0.98,0.05,2.1,0.061,49,3.31,0.55,9.7,3,1
"4234",8.7,0.31,0.73,14.35,0.044,191,2.96,0.88,8.7,5,0
"4237",8.7,0.31,0.73,14.35,0.044,191,2.96,0.88,8.7,5,0
"5515",4.7,0.455,0.18,1.9,0.036,106,3.21,0.83,14,7,0
"2372",6.6,0.21,0.6,1.1,0.135,144,3.12,0.39,9.3,7,0
"3973",7.6,0.48,0.37,1.2,0.034,57,3.05,0.54,10.4,3,0
"377",11.5,0.45,0.5,3,0.078,47,3.26,1.11,11,6,1
"781",7,0.57,0,2,0.19,45,3.31,0.6,9.4,6,1
"561",12.7,0.6,0.49,2.8,0.075,19,3.14,0.57,11.4,5,1
"566",12.7,0.6,0.49,2.8,0.075,19,3.14,0.57,11.4,5,1
"4017",7.3,0.815,0.09,11.4,0.044,204,3.15,0.46,9,5,0
"5187",6.8,0.19,0.71,17.5,0.042,114,2.85,0.5,9.5,6,0
"5188",6.8,0.19,0.71,17.5,0.042,114,2.85,0.5,9.5,6,0
"5189",6.8,0.19,0.71,17.5,0.042,114,2.85,0.5,9.5,6,0
"485",10.6,0.44,0.68,4.1,0.114,24,3.06,0.66,13.4,6,1
"5410",6.8,0.26,0.34,15.1,0.06,162,3.24,0.52,10.5,3,0
"3764",8.4,0.22,0.28,18.8,0.028,130,2.96,0.35,11.6,5,0
"1127",5.8,0.29,0.26,1.7,0.063,11,3.39,0.54,13.5,6,1
"481",10.6,0.28,0.39,15.5,0.069,23,3.12,0.66,9.2,5,1
"5813",6.5,0.38,0.53,1.4,0.142,69,3.14,0.52,10.1,4,0
"4765",6.1,0.68,0.52,1.4,0.037,123,3.24,0.45,12,6,0
"2126",7.2,0.31,0.46,5,0.04,29,3.04,0.53,12.5,4,0
"1179",5.6,0.915,0,2.1,0.041,78,3.68,0.73,11.4,5,1
"270",11.5,0.18,0.51,4,0.104,23,3.28,0.97,10.1,6,1
"272",11.5,0.18,0.51,4,0.104,23,3.28,0.97,10.1,6,1
"278",11.5,0.18,0.51,4,0.104,23,3.28,0.97,10.1,6,1
"3055",6.9,0.34,0.74,11.2,0.069,150,3,0.81,9.2,5,0
"4472",4.2,0.17,0.36,1.8,0.029,161,3.65,0.89,12,7,0
"364",12.5,0.46,0.63,2,0.071,15,2.99,0.87,10.2,5,1
"6418",6,0.27,0.4,1.7,0.021,82,3.24,0.95,13.1333333333333,6,0
"2640",8.2,0.68,0.3,2.1,0.047,138,3.22,0.71,10.8,4,0
"6296",6.1,0.15,0.4,1.2,0.03,84,3.19,0.96,13,6,0
"4122",7.3,0.17,0.24,8.1,0.121,162,3.17,0.38,10.4,8,0
"4125",7.3,0.17,0.24,8.1,0.121,162,3.17,0.38,10.4,8,0
"3692",5.3,0.76,0.03,2.7,0.043,93,3.34,0.38,9.2,5,0
"650",6.7,0.42,0.27,8.6,0.068,148,3.16,0.57,11.3,6,1
"110",8.1,0.785,0.52,2,0.122,153,3.21,0.69,9.3,5,1
"3971",6.2,0.45,0.73,7.2,0.099,202,3.21,0.43,9.2,5,0
"600",12.7,0.59,0.45,2.3,0.082,22,3,0.7,9.3,6,1
"265",12.5,0.56,0.49,2.4,0.064,27,3.08,0.87,10.9,5,1
"484",10.6,0.36,0.6,2.2,0.152,18,3.04,1.06,9.4,5,1
